trigger_dt,pitch_dt,ticker,sentiment
2025-12-31,2025-12-31,IE,bullish
2025-12-31,2025-12-31,NVO,bullish
2026-01-12,2025-12-31,LMNR,bullish
2026-01-02,2025-12-31,DECK,bullish
2025-12-31,2025-12-31,TTD,bullish
2026-01-05,2026-01-01,DLHC,bullish
2026-01-12,2026-01-01,PLAY,bullish
2026-01-02,2026-01-01,BHP,bullish
2026-01-02,2026-01-01,WEBC,bullish
2026-01-02,2026-01-01,RGR,bullish
2026-01-06,2026-01-01,ATEX,bullish
2026-01-02,2026-01-02,HUBB,bullish
2026-01-02,2026-01-02,OUST,bullish
2026-01-02,2026-01-02,ANET,bullish
2026-01-06,2026-01-02,KLNG,bullish
2026-01-06,2026-01-02,FOUR,bullish
2026-01-06,2026-01-02,QXO,bullish
2026-01-02,2026-01-02,BAM,bullish
2026-01-05,2026-01-02,MMS,bullish
2026-01-06,2026-01-02,ISRG,bullish
2026-01-02,2026-01-02,ATEC,bearish
2026-01-02,2026-01-02,ITRI,bullish
2026-01-26,2026-01-02,BMI,bullish
2026-01-02,2026-01-02,WDS,bullish
2026-03-02,2026-01-02,BL,bullish
2026-01-06,2026-01-02,HCA,bullish
2026-01-05,2026-01-02,PYPL,bullish
2026-01-05,2026-01-02,SBGSY,bullish
2026-01-02,2026-01-02,SRBIF,bullish
2026-01-02,2026-01-02,ETN,bullish
2026-01-02,2026-01-02,BABA,bullish
2026-01-02,2026-01-02,TSM,bullish
2026-01-08,2026-01-02,SNWV,bullish
2026-01-02,2026-01-02,NVO,bullish
2026-01-05,2026-01-03,XYF,bullish
2026-01-05,2026-01-03,PALI,bullish
2026-01-05,2026-01-03,SNAP,bullish
2026-01-05,2026-01-03,OMER,bullish
2026-01-05,2026-01-03,XYF,bullish
2026-01-05,2026-01-03,ASST,bullish
2026-02-13,2026-01-03,CLBT,bullish
2026-02-19,2026-01-03,IVVD,bullish
2026-01-06,2026-01-03,AMPX,bullish
2026-01-05,2026-01-04,FIG,bullish
2026-01-05,2026-01-04,UBER,bullish
2026-01-05,2026-01-04,NKE,bullish
2026-01-05,2026-01-04,SKYT,bullish
2026-01-05,2026-01-04,NFLX,bullish
2026-02-26,2026-01-04,BROS,bullish
2026-01-05,2026-01-05,KDEF,bullish
2026-01-05,2026-01-05,SNAP,bullish
2026-01-05,2026-01-05,ESTC,bullish
2026-01-05,2026-01-05,VEEV,bullish
2026-01-06,2026-01-05,CMI,bullish
2026-01-05,2026-01-05,NSP,bullish
2026-01-05,2026-01-05,SHMD,bullish
2026-01-06,2026-01-06,NVDA,bullish
2026-01-06,2026-01-06,DUOL,bullish
2026-01-06,2026-01-06,MU,bullish
2026-01-06,2026-01-06,TSM,neutral;
2026-01-07,2026-01-07,ACFN,bullish
2026-01-07,2026-01-07,AMZN,bullish
2026-01-07,2026-01-07,ATLC,bearish
2026-01-07,2026-01-07,ACFN,bullish
2026-01-07,2026-01-07,AMAT,bullish
2026-01-08,2026-01-08,CIFR,bullish
2026-01-21,2026-01-08,COHR,bullish
2026-01-08,2026-01-08,GOOGL,bullish
2026-01-08,2026-01-08,LOGI,bearish
2026-01-29,2026-01-09,AEHR,bearish
2026-01-09,2026-01-09,GSK,bullish
2026-01-12,2026-01-09,ATEC,bearish
2026-01-09,2026-01-09,FOUR,bullish
2026-02-04,2026-01-09,EWBC,bullish
2026-01-09,2026-01-09,VRT,bullish
2026-01-09,2026-01-09,CLPT,bullish
2026-01-09,2026-01-09,CZZLF,bullish
2026-01-09,2026-01-09,ASTS,bullish
2026-02-19,2026-01-09,ADBE,bullish
2026-02-02,2026-01-09,RYAAY,bullish
2026-01-12,2026-01-10,KLAR,bullish
2026-01-12,2026-01-10,TEM,bullish
2026-01-12,2026-01-11,HYDTF,bullish
2026-01-12,2026-01-11,COUR,bullish
2026-01-12,2026-01-12,AVAV,bullish
2026-01-12,2026-01-12,WD,bullish
2026-01-12,2026-01-12,DOW,bullish
2026-01-12,2026-01-12,XYZ,bullish
2026-01-15,2026-01-12,FFBB,bullish
2026-02-20,2026-01-13,SRPT,bullish
2026-01-13,2026-01-13,MRNA,bullish
2026-01-13,2026-01-13,LOGC,bullish
2026-02-20,2026-01-13,CRM,bullish
2026-01-13,2026-01-13,AEHR,bullish
2026-01-13,2026-01-13,GETY,bullish
2026-01-13,2026-01-13,XPO,bullish
2026-01-13,2026-01-13,NVO,bullish
2026-01-13,2026-01-13,HTO,bullish
2026-01-13,2026-01-13,SO,bullish
2026-01-13,2026-01-13,CRTO,bullish
2026-01-14,2026-01-14,GTLB,bullish
2026-01-14,2026-01-14,KOS,bullish
2026-01-14,2026-01-14,NEXT,bullish
2026-01-30,2026-01-14,TZOO,bullish
2026-02-11,2026-01-14,RIVN,bullish
2026-01-14,2026-01-14,OKTA,bullish
2026-01-14,2026-01-14,EBAY,bullish
2026-02-11,2026-01-14,IOT,bullish
2026-02-23,2026-01-14,SNAP,bullish
2026-01-15,2026-01-15,CMSG,bullish
2026-01-15,2026-01-15,KIM,bullish
2026-01-23,2026-01-15,PRLPF,bullish
2026-01-15,2026-01-15,HUN,bullish
2026-02-20,2026-01-15,POST,bearish
2026-01-21,2026-01-15,MRX,bullish
2026-01-15,2026-01-15,LPTH,bullish
2026-01-30,2026-01-15,CB,bullish
2026-01-30,2026-01-16,TZOO,bullish
2026-02-13,2026-01-16,FWONK,bullish
2026-01-21,2026-01-16,CMTG,bullish
2026-01-16,2026-01-16,RBLX,bullish
2026-02-03,2026-01-16,VTRS,bullish
2026-01-16,2026-01-16,LB,bullish
2026-01-16,2026-01-16,SSYS,bullish
2026-01-16,2026-01-16,WSO,bullish
2026-01-20,2026-01-17,TSM,bullish
2026-01-23,2026-01-17,MELI,bullish
2026-01-20,2026-01-17,VVX,bullish
2026-01-20,2026-01-18,HGV,bearish
2026-03-03,2026-01-19,UPST,bullish
2026-01-20,2026-01-19,MSTR,bullish
2026-01-21,2026-01-19,PANL,bullish
2026-01-20,2026-01-20,DPRO,bullish
2026-01-20,2026-01-20,TIC,bullish
2026-01-20,2026-01-20,UEIC,bullish
2026-01-30,2026-01-20,SPOT,bullish
2026-02-26,2026-01-20,SPT,bullish
2026-01-20,2026-01-20,LB,bullish
2026-02-09,2026-01-20,GDDY,bullish
2026-01-20,2026-01-20,TSM,bullish
2026-01-20,2026-01-20,DRS,bullish
2026-01-20,2026-01-20,IEHC,bullish
2026-01-21,2026-01-21,AMPG,bullish
2026-01-21,2026-01-21,TWST,bullish
2026-02-23,2026-01-21,LLY,bullish
2026-01-21,2026-01-21,DRTS,bullish
2026-03-04,2026-01-21,WEAV,bullish
2026-02-11,2026-01-21,IKT,bullish
2026-01-26,2026-01-21,NOMD,bullish
2026-01-22,2026-01-22,DEO,bullish
2026-01-22,2026-01-22,TEM,bullish
2026-01-22,2026-01-22,EUFN,bearish
2026-01-28,2026-01-23,STRS,bullish
2026-01-26,2026-01-23,TTAM,bullish
2026-02-02,2026-01-23,ZNOG,bearish
2026-01-23,2026-01-23,BHP,bullish
2026-02-05,2026-01-24,CRVS,bearish
2026-01-26,2026-01-24,CRBP,bullish
2026-01-26,2026-01-24,INTC,bullish
2026-01-26,2026-01-24,INVZ,bullish
2026-01-28,2026-01-24,DELL,bullish
2026-03-20,2026-01-25,RHLD,bullish
2026-01-29,2026-01-26,NP,bullish
2026-02-26,2026-01-26,JOYY,bullish
2026-01-28,2026-01-26,CMCO,bearish
2026-02-12,2026-01-26,RBRK,bullish
2026-01-26,2026-01-26,MHGU,bullish
